apelido,foto,pontuacao,posicao_id,clube_id,entrou_em_campo,A,DS,FS,FC,FD,FF,PS,CA,G,PC,SG,I,DE,V,GS,CV,FT,scout,rodada,DP,GC,PP
Maxi Silvera,https://s.sde.globo.com/media/person_role/2023/08/30/photo_220x220_DYNlrRE.png,1.1,5.0,277.0,True,,,,,1.0,,,,,,,1.0,,,,,,,38,,,
William Gomes,https://s.sde.globo.com/media/person_role/2023/11/12/photo_FORMATO_DODQl1y.png,1.4,5.0,276.0,True,,1.0,1.0,1.0,,,,,,,,,,,,,,,38,,,
Mário Henrique,https://s.sde.globo.com/media/person_role/2023/11/14/photo_220x220_l1ntRYO.png,0.0,6.0,290.0,False,,,,,,,,,,,,,,,,,,,38,,,
Estêvão,https://s.sde.globo.com/media/person_role/2023/11/28/photo_220x220_AdYLEQg.png,2.4,5.0,275.0,True,,2.0,,,,,,,,,,,,,,,,,38,,,
Éberth,https://s.sde.globo.com/media/person_role/2023/12/06/photo_FORMATO_2Ci1tye.png,0.5,5.0,294.0,True,,,,1.0,,1.0,,,,,,,,,,,,,38,,,
Paulo Autuori,https://s.sde.globo.com/media/person_role/2023/11/14/photo_FORMATO_9LUyoUG.png,4.02,6.0,283.0,True,,,,,,,,,,,,,,,,,,,38,,,
Guto Ferreira,https://s.sde.globo.com/media/person_role/2021/04/27/7b5d614f3eafc2e2e12922930cd3590e_FORMATO.png,2.11,6.0,294.0,True,,,,,,,,,,,,,,,,,,,38,,,
Mano Menezes,https://s.sde.globo.com/media/person_role/2023/03/13/photo_FORMATO.png,8.280000000000001,6.0,264.0,True,,,,,,,,,,,,,,1.0,,,,,38,,,
Fábio,https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_TV5Ba3v.png,-1.0,1.0,266.0,True,,,,,,,,,,,,,2.0,,3.0,,,,38,,,
Marcelo,https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_AWlci0T.png,2.1,2.0,266.0,True,,2.0,,1.0,,,,,,,,,,,,,,,38,,,
Felipe Melo,https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_3jDOHjM.png,1.7,4.0,266.0,True,,1.0,,1.0,,1.0,,,,,,,,,,,,,38,,,
Mariano,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_IOyd2Qa.png,2.4,2.0,282.0,True,,2.0,,,,,,,,,,,,,,,,,38,,,
